"code"	"name"	"estimated_value"	"estimated_growth_rate"	"today_net_unit_value"	"today_daily_growth_rate"	"estimation_bias"	"yesterday_net_unit_value"	"is_buy"
"004945"	"长信中证500指数增强"	"0.9785"	"1.73%"	"---"	"---"	"---"	"0.9619"	"1"
"001214"	"华泰柏瑞中证500ETF联接A"	"0.5681"	"1.73%"	"---"	"---"	"---"	"0.5584"	"1"
"006214"	"平安500ETF联接A"	"1.0962"	"1.73%"	"---"	"---"	"---"	"1.0776"	"1"
"005919"	"天弘中证500指数C"	"0.9104"	"1.73%"	"---"	"---"	"---"	"0.8949"	"1"
"005994"	"国投中证500指数量化增强A"	"1.3093"	"1.73%"	"---"	"---"	"---"	"1.2870"	"1"
"005608"	"华宝中证500增强C"	"0.9293"	"1.73%"	"---"	"---"	"---"	"0.9135"	"1"
"005607"	"华宝中证500增强A"	"0.9354"	"1.73%"	"---"	"---"	"---"	"0.9195"	"1"
"005633"	"建信中证500指数增强C"	"2.0174"	"1.73%"	"---"	"---"	"---"	"1.9831"	"1"
"006215"	"平安500ETF联接C"	"1.0949"	"1.73%"	"---"	"---"	"---"	"1.0763"	"1"
"005965"	"安信中证500指数增强A"	"1.2883"	"1.73%"	"---"	"---"	"---"	"1.2664"	"1"
"070039"	"嘉实中证500ETF联接C"	"1.1041"	"1.73%"	"---"	"---"	"---"	"1.0853"	"1"
"005795"	"博时中证500指数增强C"	"1.0077"	"1.73%"	"---"	"---"	"---"	"0.9906"	"1"
"006382"	"华夏中证500ETF联接C"	"0.5717"	"1.73%"	"---"	"---"	"---"	"0.5620"	"0"
"005966"	"安信中证500指数增强C"	"1.2829"	"1.73%"	"---"	"---"	"---"	"1.2611"	"1"
"006087"	"华泰柏瑞中证500ETF联接C"	"0.5724"	"1.73%"	"---"	"---"	"---"	"0.5627"	"1"
"006132"	"万家智造优势混合A"	"1.4460"	"1.73%"	"---"	"---"	"---"	"1.4214"	"1"
"006751"	"富国互联科技股票"	"1.4320"	"1.73%"	"---"	"---"	"---"	"1.4076"	"1"
"006593"	"博道中证500增强A"	"1.1655"	"1.73%"	"---"	"---"	"---"	"1.1457"	"1"
"004790"	"富荣中证500指数A"	"1.0125"	"1.73%"	"---"	"---"	"---"	"0.9953"	"1"
"006682"	"景顺长城中证500增强"	"0.9833"	"1.73%"	"---"	"---"	"---"	"0.9666"	"1"
"006784"	"红土创新中证500增强C"	"1.0436"	"1.73%"	"---"	"---"	"---"	"1.0259"	"1"
"007028"	"易方达中证500ETF联接A"	"1.0215"	"1.73%"	"---"	"---"	"---"	"1.0041"	"1"
"006594"	"博道中证500增强C"	"1.1622"	"1.73%"	"---"	"---"	"---"	"1.1424"	"1"
"007089"	"国投中证500指数量化增强C"	"1.3052"	"1.73%"	"---"	"---"	"---"	"1.2830"	"1"
"006657"	"方正富邦中证500ETF联接C"	"0.9857"	"1.73%"	"---"	"---"	"---"	"0.9689"	"1"
"006656"	"方正富邦中证500ETF联接A"	"0.9899"	"1.73%"	"---"	"---"	"---"	"0.9731"	"1"
"002316"	"创金合信中证500指数增强C"	"0.9845"	"1.73%"	"---"	"---"	"---"	"0.9678"	"1"
"006611"	"人保中证500指数"	"1.1866"	"1.73%"	"---"	"---"	"---"	"1.1664"	"1"
"006938"	"鹏华中证500指数(LOF)C"	"1.2350"	"1.73%"	"---"	"---"	"---"	"1.2140"	"1"
"006729"	"万家中证500指数增强A"	"1.1572"	"1.73%"	"---"	"---"	"---"	"1.1375"	"1"
"006730"	"万家中证500指数增强C"	"1.1517"	"1.73%"	"---"	"---"	"---"	"1.1321"	"1"
"007386"	"浙商中证500指数增强C"	"0.9704"	"1.73%"	"---"	"---"	"---"	"0.9539"	"1"
"006048"	"长城中证500指数增强A"	"1.0617"	"1.73%"	"---"	"---"	"---"	"1.0437"	"1"
"007413"	"长城中证500指数增强C"	"1.0545"	"1.73%"	"---"	"---"	"---"	"1.0366"	"1"
"007795"	"申万菱信中证500指数增强C"	"1.2110"	"1.73%"	"---"	"---"	"---"	"1.1904"	"1"
"007794"	"申万菱信中证500指数优选增强C"	"1.1245"	"1.73%"	"---"	"---"	"---"	"1.1054"	"1"
"169301"	"财通中证500(LOF)A"	"1.0419"	"1.73%"	"---"	"---"	"---"	"1.0242"	"1"
"169302"	"财通中证500(LOF)C"	"1.0390"	"1.73%"	"---"	"---"	"---"	"1.0213"	"1"
"162216"	"泰达中证500指数增强(LOF)"	"0.9879"	"1.73%"	"---"	"---"	"---"	"0.9711"	"1"
"007029"	"易方达中证500ETF联接C"	"1.0203"	"1.73%"	"---"	"---"	"---"	"1.0030"	"1"
"000755"	"富安达新兴成长混合"	"1.3231"	"1.72%"	"---"	"---"	"---"	"1.3007"	"1"
"000729"	"建信中小盘先锋股票"	"1.3844"	"1.72%"	"---"	"---"	"---"	"1.3610"	"1"
"000549"	"华安大国新经济股票"	"2.1941"	"1.72%"	"---"	"---"	"---"	"2.1570"	"1"
"168002"	"国寿安保策略精选混合(LOF)"	"1.2670"	"1.72%"	"---"	"---"	"---"	"1.2455"	"1"
"005844"	"东方人工智能主题混合"	"1.1399"	"1.72%"	"---"	"---"	"---"	"1.1207"	"1"
"006366"	"兴业安保优选混合"	"1.4396"	"1.72%"	"---"	"---"	"---"	"1.4153"	"1"
"001113"	"南方大数据100A"	"0.6567"	"1.71%"	"---"	"---"	"---"	"0.6457"	"1"
"161903"	"万家行业优选混合(LOF)"	"1.2656"	"1.71%"	"---"	"---"	"---"	"1.2444"	"1"
"003962"	"易方达瑞程灵活配置混合C"	"1.6997"	"1.71%"	"---"	"---"	"---"	"1.6711"	"0"
"003961"	"易方达瑞程灵活配置混合A"	"1.6845"	"1.71%"	"---"	"---"	"---"	"1.6561"	"0"
"004344"	"南方大数据100C"	"0.6501"	"1.71%"	"---"	"---"	"---"	"0.6392"	"1"
"007817"	"国泰中证全指通信设备ETF联接A"	"1.0159"	"1.71%"	"---"	"---"	"---"	"0.9988"	"1"
"007818"	"国泰中证全指通信设备ETF联接C"	"1.0140"	"1.71%"	"---"	"---"	"---"	"0.9970"	"1"
"519181"	"万家和谐增长混合"	"0.8868"	"1.70%"	"---"	"---"	"---"	"0.8720"	"1"
"481010"	"工银中小盘混合"	"1.5021"	"1.70%"	"---"	"---"	"---"	"1.4770"	"1"
"002148"	"国寿安保稳惠混合"	"1.1507"	"1.70%"	"---"	"---"	"---"	"1.1314"	"1"
"519929"	"长信电子信息行业量化混合"	"0.8929"	"1.70%"	"---"	"---"	"---"	"0.8780"	"1"
"163111"	"申万菱信中小板指数(LOF)A"	"1.0123"	"1.69%"	"---"	"---"	"---"	"0.9955"	"1"
"163114"	"申万菱信中证环保产业指数分级"	"1.0807"	"1.69%"	"---"	"---"	"---"	"1.0627"	"1"
"290008"	"泰信发展主题混合"	"1.3982"	"1.69%"	"---"	"---"	"---"	"1.3750"	"1"
"001064"	"广发中证环保ETF联接A"	"0.5728"	"1.69%"	"---"	"---"	"---"	"0.5633"	"1"
"410010"	"华富中小板指数增强"	"1.1779"	"1.69%"	"---"	"---"	"---"	"1.1583"	"1"
"164304"	"新华中证环保产业指数分级"	"1.1623"	"1.69%"	"---"	"---"	"---"	"1.1430"	"1"
"162201"	"泰达宏利成长混合"	"1.3979"	"1.69%"	"---"	"---"	"---"	"1.3747"	"1"
"160634"	"鹏华环保分级"	"0.7586"	"1.69%"	"---"	"---"	"---"	"0.7460"	"1"
"000793"	"工银高端制造股票"	"0.8837"	"1.69%"	"---"	"---"	"---"	"0.8690"	"1"
"002984"	"广发中证环保ETF联接C"	"0.5678"	"1.69%"	"---"	"---"	"---"	"0.5584"	"1"
"001899"	"东海社会安全"	"0.6864"	"1.69%"	"---"	"---"	"---"	"0.6750"	"1"
"161118"	"易方达中小板指数(LOF)"	"1.0288"	"1.69%"	"---"	"---"	"---"	"1.0117"	"1"
"004209"	"大成智惠量化多策略混合"	"1.2538"	"1.69%"	"---"	"---"	"---"	"1.2330"	"1"
"004139"	"中邮军民融合灵活配置混合"	"0.9355"	"1.69%"	"---"	"---"	"---"	"0.9199"	"1"
"164819"	"工银中证环保产业指数分级"	"0.7543"	"1.69%"	"---"	"---"	"---"	"0.7418"	"1"
"006247"	"华夏中小板ETF联接C"	"1.1603"	"1.69%"	"---"	"---"	"---"	"1.1410"	"0"
"006274"	"圆信永丰医药健康"	"1.2428"	"1.69%"	"---"	"---"	"---"	"1.2221"	"1"
"006246"	"华夏中小板ETF联接A"	"1.1658"	"1.69%"	"---"	"---"	"---"	"1.1464"	"1"
"007799"	"申万菱信中小板指数C"	"1.1552"	"1.69%"	"---"	"---"	"---"	"1.1360"	"1"
"007345"	"富国科技创新灵活配置混合"	"1.1980"	"1.69%"	"---"	"---"	"---"	"1.1780"	"0"
"001972"	"前海开源沪港深智慧生活混合"	"1.4591"	"1.68%"	"---"	"---"	"---"	"1.4350"	"1"
"160211"	"国泰中小盘成长混合(LOF)"	"2.4972"	"1.68%"	"---"	"---"	"---"	"2.4560"	"1"
"168501"	"北信瑞丰产业升级"	"1.1327"	"1.68%"	"---"	"---"	"---"	"1.1140"	"1"
"004649"	"国开开航混合"	"1.0069"	"1.68%"	"---"	"---"	"---"	"0.9903"	"1"
"570006"	"诺德中小盘混合"	"1.4764"	"1.68%"	"---"	"---"	"---"	"1.4520"	"1"
"006879"	"华安智能生活混合"	"1.5622"	"1.68%"	"---"	"---"	"---"	"1.5364"	"1"
"000417"	"国联安新精选混合"	"1.0603"	"1.67%"	"---"	"---"	"---"	"1.0429"	"1"
"001409"	"工银互联网加股票"	"0.3955"	"1.67%"	"---"	"---"	"---"	"0.3890"	"1"
"000404"	"易方达新兴成长灵活配置"	"2.8203"	"1.67%"	"---"	"---"	"---"	"2.7740"	"1"
"006110"	"富荣价值精选混合C"	"0.9221"	"1.67%"	"---"	"---"	"---"	"0.9070"	"1"
"006109"	"富荣价值精选混合A"	"1.8842"	"1.67%"	"---"	"---"	"---"	"1.8533"	"1"
"270028"	"广发制造业精选混合"	"2.8800"	"1.66%"	"---"	"---"	"---"	"2.8330"	"1"
"001476"	"中银智能制造股票"	"0.7635"	"1.66%"	"---"	"---"	"---"	"0.7510"	"1"
"519022"	"国泰金泰灵活配置混合C"	"1.3006"	"1.66%"	"---"	"---"	"---"	"1.2794"	"0"
"519020"	"国泰金泰灵活配置混合A"	"1.2866"	"1.66%"	"---"	"---"	"---"	"1.2656"	"1"
"571002"	"诺德灵活配置混合"	"1.6332"	"1.65%"	"---"	"---"	"---"	"1.6067"	"1"
"000020"	"景顺长城品质投资混合"	"2.5423"	"1.65%"	"---"	"---"	"---"	"2.5010"	"1"
"710302"	"富安达增强收益债券C"	"1.1586"	"1.65%"	"---"	"---"	"---"	"1.1398"	"1"
"160212"	"国泰估值优势混合(LOF)"	"2.5017"	"1.65%"	"---"	"---"	"---"	"2.4610"	"1"
"001036"	"嘉实企业变革股票"	"1.1161"	"1.65%"	"---"	"---"	"---"	"1.0980"	"1"
"710301"	"富安达增强收益债券A"	"1.1943"	"1.65%"	"---"	"---"	"---"	"1.1750"	"1"
"002251"	"华夏军工安全混合"	"0.9199"	"1.65%"	"---"	"---"	"---"	"0.9050"	"1"
"000336"	"农银研究精选混合"	"1.3957"	"1.65%"	"---"	"---"	"---"	"1.3731"	"1"
"005461"	"南方希元转债"	"1.1835"	"1.65%"	"---"	"---"	"---"	"1.1643"	"1"
"610001"	"信达澳银领先增长混合"	"1.2847"	"1.64%"	"---"	"---"	"---"	"1.2640"	"1"
"519677"	"银河定投宝腾讯济安指数"	"1.5978"	"1.64%"	"---"	"---"	"---"	"1.5720"	"1"
"001822"	"华商智能生活灵活配置混合"	"1.0652"	"1.64%"	"---"	"---"	"---"	"1.0480"	"1"
"001319"	"农银信息传媒股票"	"0.8944"	"1.64%"	"---"	"---"	"---"	"0.8800"	"1"
"519993"	"长信增利动态策略混合"	"1.0162"	"1.64%"	"---"	"---"	"---"	"0.9998"	"1"
"001404"	"招商移动互联网产业股票基金"	"0.8924"	"1.64%"	"---"	"---"	"---"	"0.8780"	"1"
"580002"	"东吴双动力混合"	"0.7610"	"1.63%"	"---"	"---"	"---"	"0.7488"	"1"
"519697"	"交银优势行业混合"	"4.0196"	"1.63%"	"---"	"---"	"---"	"3.9550"	"1"
"000717"	"融通转型三动力灵活配置混合"	"2.0611"	"1.63%"	"---"	"---"	"---"	"2.0280"	"1"
"020003"	"国泰金龙行业混合"	"0.5976"	"1.63%"	"---"	"---"	"---"	"0.5880"	"1"
"002190"	"农银新能源主题"	"0.9965"	"1.63%"	"---"	"---"	"---"	"0.9805"	"1"
"002580"	"泰信鑫选灵活配置混合C"	"1.0498"	"1.63%"	"---"	"---"	"---"	"1.0330"	"0"
"005400"	"万家潜力价值灵活配置混合A"	"1.3798"	"1.63%"	"---"	"---"	"---"	"1.3577"	"1"
"005401"	"万家潜力价值灵活配置混合C"	"1.3633"	"1.63%"	"---"	"---"	"---"	"1.3415"	"1"
"090012"	"大成深证成长40ETF联接"	"0.9777"	"1.63%"	"---"	"---"	"---"	"0.9620"	"1"
"002168"	"嘉实智能汽车股票"	"1.7611"	"1.62%"	"---"	"---"	"---"	"1.7330"	"1"
"002863"	"金信深圳成长混合发起式"	"1.2408"	"1.62%"	"---"	"---"	"---"	"1.2210"	"1"
"161913"	"万家社会责任18个月定开C"	"1.2656"	"1.62%"	"---"	"---"	"---"	"1.2454"	"0"
"161912"	"万家社会责任18个月定开A"	"1.2702"	"1.62%"	"---"	"---"	"---"	"1.2499"	"0"
"168401"	"红土创新转型精选灵(LOF)"	"1.3468"	"1.62%"	"---"	"---"	"---"	"1.3253"	"1"
"730001"	"方正富邦创新动力混合A"	"1.2658"	"1.61%"	"---"	"---"	"---"	"1.2458"	"1"
"450007"	"国富成长动力混合"	"1.5488"	"1.61%"	"---"	"---"	"---"	"1.5243"	"1"
"519712"	"交银阿尔法核心混合"	"2.5790"	"1.61%"	"---"	"---"	"---"	"2.5380"	"1"
"001125"	"博时互联网主题灵活配置混合"	"0.8556"	"1.61%"	"---"	"---"	"---"	"0.8420"	"1"
"001227"	"中邮信息产业灵活配置混合"	"0.7682"	"1.61%"	"---"	"---"	"---"	"0.7560"	"1"
"002064"	"华富产业升级灵活配置混合"	"1.1848"	"1.61%"	"---"	"---"	"---"	"1.1660"	"1"
"001521"	"国寿安保成长优选股票"	"1.2031"	"1.61%"	"---"	"---"	"---"	"1.1840"	"1"
"004616"	"中欧电子信息产业沪港深股票A"	"1.5103"	"1.61%"	"---"	"---"	"---"	"1.4864"	"1"
"004044"	"金鹰转型动力混合"	"0.9120"	"1.61%"	"---"	"---"	"---"	"0.8975"	"1"
"006992"	"嘉合锦创优势精选混合"	"1.1060"	"1.61%"	"---"	"---"	"---"	"1.0885"	"1"
"005763"	"中欧电子信息产业沪港深股票C"	"1.5883"	"1.61%"	"---"	"---"	"---"	"1.5632"	"1"
"000166"	"中海信息产业精选混合"	"1.3843"	"1.60%"	"---"	"---"	"---"	"1.3625"	"1"
"000536"	"前海开源可转债债券"	"0.8504"	"1.60%"	"---"	"---"	"---"	"0.8370"	"1"
"002663"	"前海开源沪港深大消费混合C"	"1.1714"	"1.60%"	"---"	"---"	"---"	"1.1530"	"1"
"161232"	"国投瑞银瑞盛混合(LOF)"	"0.7783"	"1.60%"	"---"	"---"	"---"	"0.7660"	"1"
"004698"	"博时军工主题股票"	"0.9743"	"1.60%"	"---"	"---"	"---"	"0.9590"	"1"
"005825"	"申万菱信智能驱动股票"	"1.5651"	"1.60%"	"---"	"---"	"---"	"1.5404"	"1"
"001060"	"前海开源高端装备制造混合"	"1.6203"	"1.59%"	"---"	"---"	"---"	"1.5950"	"1"
"370024"	"上投摩根核心优选混合"	"2.9532"	"1.59%"	"---"	"---"	"---"	"2.9070"	"1"
"001908"	"国投瑞银境煊灵活配置混合C"	"1.5118"	"1.59%"	"---"	"---"	"---"	"1.4882"	"1"
"001907"	"国投瑞银境煊灵活配置混合A"	"1.5599"	"1.59%"	"---"	"---"	"---"	"1.5355"	"1"
"163411"	"兴全精选混合"	"2.1578"	"1.58%"	"---"	"---"	"---"	"2.1242"	"1"
"161720"	"招商中证全指证券公司指数分级"	"1.0625"	"1.58%"	"---"	"---"	"---"	"1.0460"	"0"
"161027"	"富国中证全指证券公司指数分级"	"0.9294"	"1.58%"	"---"	"---"	"---"	"0.9150"	"1"
"001569"	"泰信国策驱动灵活配置混合"	"0.7700"	"1.58%"	"---"	"---"	"---"	"0.7580"	"1"
"001830"	"融通跨界成长灵活配置混合"	"1.5836"	"1.58%"	"---"	"---"	"---"	"1.5590"	"1"
"502053"	"长盛中证证券公司分级"	"0.8441"	"1.58%"	"---"	"---"	"---"	"0.8310"	"1"
"502010"	"易方达证券公司分级"	"1.0378"	"1.58%"	"---"	"---"	"---"	"1.0217"	"1"
"162510"	"国联安双力中小板综指"	"0.8766"	"1.58%"	"---"	"---"	"---"	"0.8630"	"1"
"377240"	"上投摩根新兴动力混合A"	"3.2130"	"1.58%"	"---"	"---"	"---"	"3.1630"	"1"
"160633"	"鹏华证券分级"	"0.9528"	"1.58%"	"---"	"---"	"---"	"0.9380"	"1"
"002662"	"前海开源沪港深大消费混合A"	"1.1773"	"1.58%"	"---"	"---"	"---"	"1.1590"	"1"
"001719"	"工银国家战略股票"	"1.2850"	"1.58%"	"---"	"---"	"---"	"1.2650"	"1"
"004070"	"南方中证全指证券ETF联接C"	"0.9658"	"1.58%"	"---"	"---"	"---"	"0.9508"	"1"
"161629"	"融通证券分级"	"0.9426"	"1.58%"	"---"	"---"	"---"	"0.9280"	"1"
"160419"	"华安中证全指证券公司指数分级"	"0.9650"	"1.58%"	"---"	"---"	"---"	"0.9500"	"0"
"004069"	"南方中证全指证券ETF联接A"	"0.9768"	"1.58%"	"---"	"---"	"---"	"0.9616"	"1"
"501048"	"汇添富中证全指证券公司指数C"	"0.9901"	"1.58%"	"---"	"---"	"---"	"0.9747"	"1"
"501047"	"汇添富中证全指证券公司指数A"	"0.9840"	"1.58%"	"---"	"---"	"---"	"0.9687"	"1"
"006098"	"华宝券商ETF联接A"	"1.3297"	"1.58%"	"---"	"---"	"---"	"1.3091"	"1"
"007531"	"华宝券商ETF联接C"	"1.3273"	"1.58%"	"---"	"---"	"---"	"1.3067"	"1"
"000803"	"工银研究精选股票"	"1.6465"	"1.57%"	"---"	"---"	"---"	"1.6210"	"1"
"200001"	"长城久恒灵活配置混合"	"1.5299"	"1.57%"	"---"	"---"	"---"	"1.5062"	"1"
"502000"	"西部利得中证500等权重分级"	"0.9808"	"1.57%"	"---"	"---"	"---"	"0.9657"	"1"
"001224"	"中邮新思路灵活配置混合"	"1.7714"	"1.57%"	"---"	"---"	"---"	"1.7440"	"1"
"001513"	"易方达信息产业混合"	"1.7125"	"1.57%"	"---"	"---"	"---"	"1.6860"	"1"
"000991"	"工银战略转型股票"	"1.4443"	"1.57%"	"---"	"---"	"---"	"1.4220"	"1"
"005001"	"交银持续成长主题混合"	"1.3766"	"1.57%"	"---"	"---"	"---"	"1.3553"	"1"
"007484"	"信达澳银核心科技混合"	"1.1738"	"1.57%"	"---"	"---"	"---"	"1.1557"	"1"
"161609"	"融通动力先锋混合"	"1.5417"	"1.56%"	"---"	"---"	"---"	"1.5180"	"1"
"481015"	"工银主题策略混合"	"2.0535"	"1.56%"	"---"	"---"	"---"	"2.0220"	"1"
"519778"	"交银经济新动力混合"	"1.9889"	"1.56%"	"---"	"---"	"---"	"1.9584"	"1"
"163113"	"申万菱信申万证券分级"	"0.9151"	"1.56%"	"---"	"---"	"---"	"0.9011"	"1"
"001659"	"富安达新动力混合"	"1.4578"	"1.56%"	"---"	"---"	"---"	"1.4354"	"1"
"501016"	"国泰中证申万证券行业指数"	"1.0386"	"1.56%"	"---"	"---"	"---"	"1.0227"	"1"
"005775"	"中加转型动力混合A"	"1.3226"	"1.56%"	"---"	"---"	"---"	"1.3023"	"1"
"002823"	"招商盛达混合A"	"1.2410"	"1.56%"	"---"	"---"	"---"	"1.2220"	"1"
